,Logistic Regression,Random Forest,XGBoost,MLPClassifier,Linear SVC
fit_time,0.16141729354858397,0.3374990940093994,0.6606157779693603,1.6091042041778565,1.588874626159668
score_time,0.017158937454223634,0.06216871738433838,0.06484384536743164,0.01839470863342285,0.01017434597015381
test_f1,0.606232942231158,0.6622530119845224,0.7247989716035017,0.505648359938012,0.2625982536592269
train_f1,0.6062122299149925,0.9713280041011852,0.7339748974389014,0.5129353592675872,0.26442746062379396
test_accuracy,0.6013363601809342,0.6777883913130868,0.7256642746411465,0.549381346977033,0.5015478017046664
train_accuracy,0.6010539235625585,0.9715462124521416,0.7345956425482396,0.5518699049139983,0.5025376392324422
test_recall,0.6138029026692378,0.631756825332386,0.7225231491155276,0.5787360473469809,0.3589788518675511
train_recall,0.6142142472487568,0.9639603931796049,0.7322627794474011,0.5856286102576316,0.35990735825428005
test_precision,0.5990095909388168,0.6959966186857596,0.7272431385196736,0.5922653664376188,0.398518238136633
train_precision,0.598460922025451,0.9788124590861713,0.7357036436522497,0.5992874301651192,0.47271074202573277
test_roc_auc,0.6421115596966155,0.7354085856272198,0.7903457162767349,0.5913474726893798,0.554787626728001
train_roc_auc,0.6422013013732385,0.9951440810324279,0.8020583205822206,0.5952639984756232,0.5565421818645041
test_average_precision,0.6140527722404964,0.702585562395192,0.7793688051118182,0.5762038140454236,0.5375158617280619
train_average_precision,0.6133586191576472,0.9941717840053629,0.7933443806209528,0.5782575630277526,0.5396430836568958
