,Logistic Regression Penalized,Random Forest,Linear SVC,Linear SVC Penalized,XGBoost,XGBoost Penalized,Logistic Regression,MLPClassifier,MLPClassifier Penalized
fit_time,0.42708847522735593,2.5000173568725588,32.095524764060976,31.87200858592987,5.335757946968078,5.104796695709228,0.6400134086608886,36.89950964450836,12.130322265625
score_time,0.023756861686706543,0.2609649419784546,0.021430301666259765,0.020441985130310057,0.35161354541778567,0.296101450920105,0.025406527519226074,0.2827016353607178,0.16844503879547118
test_f1,0.0,0.1080254767424607,0.01325164279622702,0.00782499634486877,0.025419980131378295,0.001589274274581601,0.0,0.046701679089213716,0.0
train_f1,0.0,0.8644495720803501,0.01200536248485461,0.007047401281791517,0.03165805925793454,0.0017226542157115748,0.0,0.045130069001695736,4.419401171141311e-05
test_accuracy,0.9331600015401481,0.9257800184034372,0.8714999913142814,0.9285067464130965,0.9331000033179853,0.9331533348734815,0.9331600015401481,0.8798782541923182,0.9331466673178666
train_accuracy,0.9331600000190139,0.9838733329595104,0.8715348158214347,0.9283740636511821,0.9335074075252017,0.9331822221534452,0.9331600000190139,0.8791542754015106,0.9331429631081762
test_recall,0.0,0.06732795625100745,0.06301136510627799,0.004687235698095335,0.013066389653395103,0.0007980051860386903,0.0,0.10735159790090805,0.0
train_recall,0.0,0.7693773627070458,0.06009083219557898,0.004300001552376393,0.01627996774201155,0.0008644083716711352,0.0,0.1068855986533233,2.2163120567375885e-05
test_precision,0.0,0.27390746964284707,0.062037967256869817,0.07174750683939757,0.4929776540497353,0.19666666666666668,0.0,0.09948309082070382,0.0
train_precision,0.0,0.9863449679076123,0.044087684686136955,0.05133096778612909,0.5956262825716341,0.24598705450318353,0.0,0.314811488162935,0.007407407407407407
test_roc_auc,0.5779344006052223,0.6800855946741924,0.5881102791496489,0.579362492930103,0.7955076149361424,0.7938588268640937,0.6446302649032228,0.6377371955947916,0.5367561676450667
train_roc_auc,0.5779338566040042,0.9968933065054039,0.5843971021318558,0.5833483736640812,0.8012054841682048,0.7968108657729598,0.6447430359006004,0.6380348769374478,0.5407871955098033
test_average_precision,0.08137605407898858,0.14302867048006607,0.08523706122798784,0.08193774737851277,0.24403042037711628,0.237908566749698,0.10376602616419954,0.11462105578444719,0.07449964669689307
train_average_precision,0.08103539109681669,0.9719264279984265,0.0832107255105334,0.0823122069592173,0.2539388757158767,0.24139076189912342,0.10304910631975224,0.11421647233314272,0.07487568887999926
